genenames	log2FoldChange	padj	minus_log10_p_value	sig
FBgn0000008	-0.0021514236929562236	0.996927101169656	0.001336597673556716	0
FBgn0000017	0.24002523000309758	0.28236113377303995	0.5491950829373313	0
FBgn0000018	0.1047991122367471	0.8239072618898539	0.08412166926903146	0
FBgn0000032	0.09190504851888706	0.8497739491763846	0.07069658685248378	0
FBgn0000037	-0.4630680601751089	0.7409094240734407	0.13023488112923398	0
FBgn0000042	-0.314524848355405	0.16453152675640675	0.7837508722765139	0
FBgn0000043	-0.6195787321549405	1.7239351648830625e-5	4.7634790714944835	0
FBgn0000044	-0.4149728101620474	0.7193125268225292	0.14308237639804833	0
FBgn0000046	-0.604238547671089	0.5690142513996664	0.24487685622931205	0
FBgn0000047	-0.6820669565035672	0.7028426776993887	0.15314187534036547	0
FBgn0000052	0.1354959991501072	0.721371475229763	0.14184103473076487	0
FBgn0000053	-0.2960601245590726	0.18934618636997763	0.7227434375996842	0
FBgn0000054	0.11992069861327431	0.7131271353547407	0.14683303780455698	0
FBgn0000057	0.023549850792506443	0.9631572964640804	0.01630278098776318	0
FBgn0000063	-0.20559273960197755	0.43032791415747684	0.36620048154616996	0
FBgn0000064	-0.29954425366488874	0.03923346057541159	1.4063433833687635	0
FBgn0000071	-2.679583650806286	8.791745244676322e-46	45.05592490480139	-1
FBgn0000077	0.055965058877054066	0.9271231620708635	0.03286256892476101	0
FBgn0000078	1.0202600303702771	0.08611316958128379	1.0649304253278935	0
FBgn0000079	1.067095821558692	0.02892656693997812	1.538703106189382	0
FBgn0000083	0.008288092716891361	0.9896651247229199	0.004511733773852529	0
FBgn0000084	0.14862327515558277	0.765000091817461	0.116338512721135	0
FBgn0000092	-0.7535643515374808	0.4636088079798071	0.3338483215852984	0
FBgn0000094	-0.45245186542155363	0.7193125268225292	0.14308237639804833	0
FBgn0000097	-0.007042919149047337	0.9903514956410403	0.004210638206115624	0
FBgn0000100	0.16121418638135096	0.6036979172641531	0.21918032244410174	0
FBgn0000108	-0.2058645418386516	0.8663003296053474	0.062331520362906054	0
FBgn0000109	0.24001284484432675	0.7698061292261289	0.11361863535822565	0
FBgn0000115	-0.06395722725928174	0.8735786374479679	0.05869799477659071	0
FBgn0000116	-1.2907858844583486	8.617534573943377e-10	9.064616965507168	0
FBgn0000117	-0.15673404111880163	0.5496217313571894	0.2599361041473241	0
FBgn0000119	0.10532558339937774	0.7612214159815628	0.11848900189870287	0
FBgn0000121	-0.08179958687202572	0.9779393136758505	0.009688094653548692	0
FBgn0000139	0.40336573247427693	0.005266349637318111	2.278490311102105	0
FBgn0000140	-0.07187900766821288	0.887086118367776	0.052034216790117646	0
FBgn0000142	0.09869508456599571	0.7468003708681487	0.12679547504814612	0
FBgn0000146	-0.49015761787248907	2.8601300271751222e-5	4.543614222534939	0
FBgn0000147	-0.4196698300037507	0.029349355589917116	1.532401429912635	0
FBgn0000150	-0.2775374182326428	0.27555194970609587	0.5597965117167063	0
FBgn0000152	-0.13605698568226374	0.7337513875645332	0.1344510644686218	0
FBgn0000153	0.1951803122390544	0.8956043325387101	0.04788381416278934	0
FBgn0000163	0.12162471876068541	0.7951255403175005	0.09956429629599071	0
FBgn0000166	0.015886836135909757	0.9950094513881136	0.002172793961601966	0
FBgn0000171	0.02938087275071481	0.966475435638212	0.014809179713388075	0
FBgn0000173	-0.15371775944415042	0.5779430031210675	0.2381149896946277	0
FBgn0000180	-0.3973275102152154	0.721371475229763	0.14184103473076487	0
FBgn0000181	0.16677109307948718	0.39417738851039663	0.40430829209821495	0
FBgn0000183	0.013425676558455594	0.9725716725439388	0.012078383993643175	0
FBgn0000210	-0.034101568720219126	0.9609109674609985	0.017316849721303082	0
FBgn0000212	-0.09942546457395376	0.7376290630531792	0.13216198013912905	0
FBgn0000221	0.2523862260275575	0.4465022895292708	0.3501763098384154	0
FBgn0000228	0.1049934684191944	0.7758667481164446	0.1102128606064514	0
FBgn0000229	0.11438224144419624	0.8482583212129603	0.07147187133607684	0
FBgn0000239	0.02792843972702636	0.9449553388342429	0.024588716947025625	0
FBgn0000241	-0.05159119900272021	0.9890162478780042	0.004796573614349967	0
FBgn0000242	-0.11429263190308642	0.8276264419782896	0.08216564243620395	0
FBgn0000244	0.39780134539797496	0.0320754979893312	1.4938265922456389	0
FBgn0000246	-0.16816526944967342	0.8692363337362694	0.0608621286338706	0
FBgn0000247	0.16285748817867896	0.5508594215225459	0.25895921829270985	0
FBgn0000250	0.10157114342954936	0.7337513875645332	0.1344510644686218	0
FBgn0000253	-0.07967619881631054	0.8789849792226535	0.05601854642390043	0
FBgn0000256	0.4508265380474358	0.00768985911109692	2.1140816170039893	0
FBgn0000257	-0.05728155082074577	0.9158867662250275	0.038158216117571885	0
FBgn0000258	-0.0602734276775671	0.9743237536054592	0.011296709403355148	0
FBgn0000259	0.04723236836853825	0.9517999082439884	0.021454341404388275	0
FBgn0000261	0.16276195066253402	0.5861186620406674	0.23201445044528332	0
FBgn0000273	0.12556266040656583	0.7745261101815968	0.1109639370827574	0
FBgn0000276	-0.15213779994857832	0.9225356164661622	0.03501685797526844	0
FBgn0000277	0.48706915307052395	0.7327888711382848	0.1350211349187179	0
FBgn0000278	0.6697817367578519	0.16565926670646244	0.7807842653846859	0
FBgn0000279	-0.4892643547509695	0.20170300696825125	0.6952876273202809	0
FBgn0000283	0.12020758346312455	0.7073763169923366	0.1503494844869431	0
FBgn0000286	0.5315690966456673	0.0011106496260932482	2.9544229252656242	0
FBgn0000289	0.1808643110503279	0.3382760586517126	0.47072873813689264	0
FBgn0000299	-0.636464548381721	4.9839411689965025e-5	4.302427092779661	0
FBgn0000307	0.05423959199680502	0.9364683792734972	0.028506882398599807	0
FBgn0000308	-0.037831314352821444	0.953638376270742	0.020616280394037557	0
FBgn0000313	-0.01763374299286156	0.989015272844677	0.00479700176889577	0
FBgn0000317	0.07232668017072034	0.8644813136031477	0.06324438988196045	0
FBgn0000318	-0.2542326227693204	0.3197370047725651	0.4952070977336101	0
FBgn0000319	-0.024704366883688673	0.9617304117946787	0.01694665049670212	0
FBgn0000326	-0.16026465105468773	0.6633108361403899	0.17828290781614803	0
FBgn0000330	0.17424018772313205	0.718101480299315	0.1438141780142848	0
FBgn0000337	-0.006702575062816312	0.9963754785158241	0.0015769692891952002	0
FBgn0000338	-0.1920890850514944	0.6540907797710838	0.18436197274964733	0
FBgn0000339	-0.008440371492582805	0.9904155912721988	0.004182531540652661	0
FBgn0000346	-0.6414076187286759	0.03464756376859109	1.4603272972442258	0
FBgn0000351	-0.3843156305542857	0.6334579323153037	0.19828222114353974	0
FBgn0000352	-0.04157557951288067	0.9182188518784549	0.03705379501288647	0
FBgn0000370	0.09415073840649132	0.7742341913775256	0.11112765347856847	0
FBgn0000376	-0.08940313886092158	0.843227956841082	0.07405500305593785	0
FBgn0000377	-0.08860939573469497	0.8084874620969291	0.09232671067945925	0
FBgn0000382	0.12566463424142987	0.761280814650082	0.11845511490206749	0
FBgn0000384	-0.02119839703833068	0.978238575373566	0.009555215424410814	0
FBgn0000392	-0.46580517867596927	4.889967220927315e-4	3.3106940520866255	0
